交流发起者,交流应答者,交流台词段数,互动指数
邢育森,佟湘玉,312,453
邢育森,白展堂,214,315
邢育森,吕秀才,20,20
邢育森,莫小贝,8,6
邢育森,郭芙蓉,70,102
邢育森,李大嘴,72,167
邢育森,燕小六,152,183
邢育森,祝无双,0,0
佟湘玉,白展堂,2150,4269
佟湘玉,吕秀才,300,571
佟湘玉,莫小贝,652,1181
佟湘玉,郭芙蓉,1334,2965
佟湘玉,李大嘴,388,640
佟湘玉,燕小六,212,410
佟湘玉,祝无双,272,588
白展堂,吕秀才,430,848
白展堂,莫小贝,254,668
白展堂,郭芙蓉,572,897
白展堂,李大嘴,522,735
白展堂,燕小六,272,366
白展堂,祝无双,224,434
吕秀才,莫小贝,98,184
吕秀才,郭芙蓉,1276,2693
吕秀才,李大嘴,582,1440
吕秀才,燕小六,112,232
吕秀才,祝无双,300,1106
莫小贝,郭芙蓉,474,1107
莫小贝,李大嘴,34,37
莫小贝,燕小六,16,24
莫小贝,祝无双,84,210
郭芙蓉,李大嘴,298,537
郭芙蓉,燕小六,312,780
郭芙蓉,祝无双,124,210
李大嘴,燕小六,116,268
李大嘴,祝无双,100,214
燕小六,祝无双,140,222
